name,rating,courses,fees_range,package,city
Apollo Hospitals Educational and Research Foundation,NULL,2,– / –,– / –,Hyderabad
Sewa Sadan College of Education,NULL,3,265000 - 42000,– / –,Ulhasnagar
"Symbiosis Centre for Distance Learning, Coimbatore",NULL,19,35000 - 30000,– / –,Coimbatore
"College of Horticulture, Bangalore",3.8,1 Course,– / –,3,Bangalore
Dr. A. D. Shinde College of Engineering,1.2,5,18,1,Kolhapur
Harish Chandra Postgraduate College,3.2,17,25,2,Varanasi
Shreeyash Institute of Pharmaceutical Education and Research,4.4,5,12000 - 3800000,3.8,Aurangabad
"Skybird Aviation, Hyderabad",4,19,517000 - 4500000,3.96 - 9.96 LPA,Hyderabad
National College of Pharmacy,NULL,10,84000 - 11400000,3 - 4 LPA,Kozhikode
Chennai Institute of Technology and Applied Research,NULL,4,22,– / –,Chennai
D.N.Polytechnic College,4.3,7,19000 - 57000,4.4,Meerut
"Maharanis Commerce and Management College for Women, Mysore",NULL,4,569,– / –,Mysore
St. Mary's Women's Engineering College,3,19,54000 - 1400000,1,Guntur
Shri. Yashwantrao Chavan Memorial Medical and Rural Development Foundation's Dental College and Hospital,NULL,5,16200000 - 18600000,– / –,Ahmednagar
Behala Government Polytechnic,NULL,3,18,– / –,Kolkata
"Government Siddha Medical College, Chennai",NULL,1 Course,425,– / –,Chennai
"Department of Liberal Arts, Humanities and Social Sciences, Manipal Academy of Higher Education, Bengaluru",NULL,11,1400000 - 4500000,6.8 - 11.68 LPA,Bangalore
Gyanmanjari Institute of Technology,3.5,11,1100000 - 2800000,3.3,Bhavnagar
SJCET - St. Joseph'S College of Engineering and Technology,3.9,10,75000 - 4100000,3.7,Kottayam
JNIAS SPA - School of Planning and Architecture,3.8,1 Course,25,3,Andhra Pradesh - Other
"Gateway College of Architecture and Design, Gateway Education",3.5,1 Course,34,2.9,Sonepat
West Bengal Survey Institute,NULL,4,18,– / –,Hooghly
ICRI - SAM GLOBAL University,NULL,11,1900000 - 500000,– / –,Bhopal
Madhav Science College,3.6,30,– / –,3,Ujjain
Hygia Institute of Pharmaceutical Education & Research,4,8,100000 - 2800000,3.8,Lucknow
Apollo Institute of Technology,3.4,12,356000 - 400000,3.1,Kanpur
Manyavar Kanshiram Government Degree College,3,3,– / –,3,Ghaziabad
Dr. A.P.J. Abdul Kalam Government College,4,9,– / –,4,Kolkata
"Department of Fine Arts, CSJM University",NULL,6,192000 - 1100000,2.5 - 3.75 LPA,Kanpur
SSM College of Engineering,3.4,12,90000 - 1800000,2.55 - 4.5 LPA,Baramulla
"Government Law College, Salem",NULL,2,– / –,– / –,Salem
Siddaganga Medical College and Research Institute,NULL,2,– / –,– / –,Tumkur
Mahendra Institute of Technology - MIT,3.8,16,35000 - 200000,2.75 - 3.7 LPA,Namakkal
"Department of  PG Studies, Visvesvaraya Technological University, Mysuru",4.2,9,– / –,3.65 - 3.73 LPA,Mysore
Michael Madhusudan Memorial College,3.9,20,26000 - 1100000,3.2,Durgapur
Maheshwara Medical College,NULL,15,27,– / –,Medak
"Government Medical College, Ariyalur",3.5,1 Course,691,3,Tamil Nadu - Other
"College of Nursing, Army Hospital",NULL,3,16,– / –,Delhi
JT Aviation College,3.2,3,– / –,3,Kolkata
ISO Junior and Degree College,3,5,208000 - 248000,3,Hyderabad
Jain AGM Ayurvedic Medical College and Hospital,NULL,1 Course,27,– / –,Dharwad
Institute of Bioinformatics and Applied Biotechnology,5,1 Course,22,5,Bangalore
"Multani Mal Modi College, Patiala",3.5,28,238000 - 1100000,1.9 - 3.5 LPA,Patiala
"Mahatma Gandhi University, Tura- Khanapara Campus",3.5,18,50000 - 2200000,2,Meghalaya - Other
Myra School of Business,4.2,1 Course,95,3.6,Mysore
"Veterinary Polytechnic, Jagdalpur - Chhattisgarh Kamdhenu Vishwavidyalaya",NULL,1 Course,25000,– / –,Chhattisgarh - Other
"Government Ayurved College, Junagadh",3.6,1 Course,18000,4,Junagadh
Annai Veilankanni’s Pharmacy College,NULL,3,90000 - 1100000,– / –,Chennai
Mamo College,3.4,10,– / –,3,Kozhikode
Smt. A P Patel Arts and Late Shri N P Patel Commerce College,NULL,11,36000 - 4000,– / –,Ahmedabad
Shree Swaminarayan Homeopathic College,NULL,1 Course,52,– / –,Kalol
GCT - Gnanamani College of Technology,3.6,25,35000 - 200000,2.32 - 2.4 LPA,Namakkal
Happy Child College of Nursing,NULL,4,1300000 - 2600000,– / –,Sonepat
Geetanjali Institute,NULL,25,15000 - 90000,– / –,Bangalore
Subhash Chandra Bose Institute of  Higher Education,3.9,2,30000,2.5,Lucknow
Malineni Lakshmaiah Womens Engineering  College,4.5,11,57000 - 1400000,4.2,Guntur
Bhubaneswar Institute of Technology,5,5,22,5,Bhubaneswar
Deen Dayal Upadhyay Hospital,NULL,5,23,– / –,Delhi
"Department of Pharmaceutical Sciences, CSJM University",NULL,1 Course,21,– / –,Kanpur
Gandhi P.R. College,3.5,29,40000,2.3,Bhopal
Army Law College,4.6,1 Course,– / –,4.4,Pune
"Government Nursing College, Gandhi Nagar",NULL,1 Course,– / –,– / –,Jammu
Knowledge-Divine Information Technology Pvt. Ltd.,NULL,7,7000 - 100000,– / –,Pune
Chikkanna Government Arts College,4.2,42,14000 - 24000,1.76 - 2.1 LPA,Tirupur
B.C.D.A. College of Pharmacy and Technology Campus-2,3.9,2,36,3.7,District 24 Parganas
Bokaro General Hospital,NULL,2,23,– / –,Bokaro Steel City
JNTUH College of Engineering Wanaparthy,NULL,5,53000,5.5 LPA,Telangana-Other
SMT. K.S.N. Kansagara Mahila College,3.7,13,51000 - 943000,3.3,Rajkot
"Vedanta College, Kolkata",3.8,14,208000 - 281000,3.7,Kolkata
"Arihant Institute of Commerce and Management, Thallagattapura",4.8,5,1800000 - 2900000,4,Bangalore
"School of Sports Education, ITM University, Gwalior",4.1,2,1100000 - 3300000,4,Gwalior
Late Kedari Redekar Ayurvedic Mahavidyalaya,NULL,2,6500000 - 10600000,– / –,Kolhapur
ASC Degree College,4,5,– / –,4,Bangalore
Rajiv Gandhi Government Degree College,3.5,5,51000 - 365000,2.7,Shimla
Ponjesly College of Engineering,3.4,16,35000 - 2600000,2 - 3 LPA,Nagercoil
Dum Dum Motijheel College,3.8,25,63000 - 694000,3.3,Kolkata
MSG-SGKM College of Arts Science and Commerce,3.7,4,913000 - 100000,3.5,Mumbai
Ahmedabad Institute of Nursing Sciences,NULL,1 Course,38,– / –,Ahmedabad
Uma Charan Patnaik Engineering School,4.5,8,174,4.3,Brahmapur
Himachal Institute of Dental Sciences,3.4,8,5800000 - 1400000,7.2 LPA,Sirmour
"Government Arts College, Udhagamandalam",2.9,45,37,1.8 LPA,Tamil Nadu - Other
Bishamber Sahai Group of Institute,NULL,48,16000 - 1200000,– / –,Roorkee
Ultra College of Pharmacy,2.4,8,80000 - 2200000,3,Madurai
BCE - Bahubali College of Engineering,3.4,12,1400000 - 3300000,2.3,Hassan
North East Frontier Technical University,3.4,239,75000 - 1600000,3,Arunachal Pradesh - Other
"NSHM Institute of Hotel & Tourism Management, NSHM Knowledge Campus - Kolkata Campus",4.7,9,2600000 - 6600000,3.38 LPA,Kolkata
Suruchi Institute of Nursing,NULL,9,– / –,– / –,Lucknow
Dr. J.J. Magdum Homoeopathic Medical College,NULL,2,3500000 - 3800000,– / –,Kolhapur
Madha Group of Academic Institutions,3,32,35000 - 5100000,2.6,Chennai
"Dr. Babasaheb Ambedkar College of Law, Bhandara",NULL,1 Course,317,– / –,Maharashtra - Other
Government Meera Girls College,4.2,20,– / –,3.5,Udaipur
The School of Business Logistics,3.6,22,200000 - 3500000,4,Chennai
Jayamukhi Institute of Technological Sciences (JITS),3.7,16,60000 - 2400000,3.2,Warangal
DBA in 60 Days,NULL,2,15000 - 18000,– / –,Ghaziabad
"Government College of Nursing, Sircilla",NULL,1 Course,– / –,– / –,Telangana-Other
Sri Vijayanagar College of Law,2.8,10,26000 - 65000,2,Anantapur
Sri Sai Bharath College of Arts and Science,NULL,44,– / –,– / –,Dindigul
"College Of Food Science And Technology, Pulivendula",3.4,1 Course,40000,1,Andhra Pradesh - Other
"College of Teachers Education,Hyderabad",NULL,3,76,– / –,Hyderabad
Dr. Lankapalli Bullayya Post Graduate College,3.8,12,54000,3.1,Visakhapatnam
I.C. College of Home Science,NULL,10,88000 - 72000,1.44 - 6.4 LPA,Hisar
Tamralipto Government Medical College and Hospital,NULL,1 Course,27,– / –,West Bengal - Other
CKS Teja Institute of Dental Sciences and Research,4.4,9,40000 - 8900000,5,Tirupati
"Vikas College Of Arts, Science and Commerce, Vikhroli East",3.4,13,– / –,2.8,Mumbai
C.K. Pithawalla Institute of Pharmaceutical Science & Research,3,1 Course,33,23.2 LPA,Surat
Sinhgad Institutes - Sinhgad Law College,5,2,– / –,5,Pune
Midnapore Law College,NULL,2,1900000 - 3100000,– / –,Midnapore
P.V.D.T. College of Education For Women,NULL,1 Course,278,– / –,Mumbai
Pune Vidyarthi Griha's College of Science,3.9,5,605000 - 1400000,4.1,Pune
"Government B.Sc. Nursing College, Bilaspur",NULL,5,– / –,– / –,BilasPur
"Ismail Yusuf College of Arts, Science and Commerce",4.2,7,81000 - 516000,3.4,Mumbai
Sri Sakthi Amma Institute of Allied Health Sciences,NULL,7,– / –,– / –,Vellore
Shine-Abdur Razzaque Ansari Institute of Health Education and Research,NULL,7,– / –,– / –,Ranchi
Biyani Law College,3.2,4,– / –,2.7,Jaipur
Veena Vadini Ayurved College and Hospital,3.1,1 Course,21 Cr,2.7,Bhopal
PDEA's Seth Govind Raghunath Sable College of Pharmacy,4.3,5,12000 - 4800000,1.5 - 1.7 LPA,Pune
Physical Education College,NULL,2,– / –,– / –,Nagpur
"Jagannath Institute of Management Sciences, Rohini",3.5,20,1600000 - 5500000,3.3,Delhi
Swami Sahajanand College of Commerce and Management,4,13,– / –,7.44 - 9.09 LPA,Bhavnagar
Guru Nanak Dev Dental College and Research Institute,3.6,8,8300000 - 17600000,3.7,Sangrur
"Government Siddha Medical College, Tirunelveli",NULL,1 Course,672,– / –,Tirunelveli
"Medhavi Skills University, Sikkim",4.8,42,50000 - 3600000,5,Sikkim - Other
Maratha Mandal Engineering College - MMEC,3.9,8,1400000 - 3600000,3.8,Karnataka - Other
Vidyasagar School of Social Work,3.1,3,– / –,2.3,Kolkata
Government College of Engineering,NULL,4,80000,– / –,Bihar - Other
IIFT Kakinada - Indian Institute of Foreign Trade,NULL,2,400000,24 LPA,Kakinada
Jnan Chandra Ghosh Polytechnic College,4.6,5,18,4.2,Kolkata
Babu Shivnath Agrawal College,2.7,24,– / –,2,Mathura
"Government First Grade College, K.R.Puram",4,18,– / –,3.8,Bangalore
Veda Degree College,4.6,5,– / –,4.5,Hyderabad
Karpaga Vinayaga Institute of Dental Sciences,4.8,10,125,5,Madhuranthagam
Institute of Management Education,3.4,11,1200000 - 3800000,2.7,Ghaziabad
National College of Design (NCD Chennai),NULL,16,– / –,– / –,Chennai
K.M.College of Pharmacy,NULL,7,42000 - 1100000,– / –,Madurai
Sri Mittapalli College of Engineering - Guntur,3.8,13,636000 - 1400000,2.4 - 2.7 LPA,Guntur
All India institute of Ayurveda,NULL,11,15,– / –,Delhi
Dr. NJ Paulbudhe College of Pharmacy,4.4,2,12000 - 3400000,4.2,Ahmednagar
Smt. M.M.K College of Commerce and Economics,3.2,5,– / –,3,Mumbai
MAAC Lucknow,NULL,19,– / –,– / –,Lucknow
Uttar Banga Krishi Viswavidyalaya,3.6,6,11,2.9,Coochbehar
"Mahatma Gandhi College of Nursing, Wardha",NULL,2,28,– / –,Wardha
Lyallpur Khalsa College,3.8,42,23000 - 2200000,3.1,Jalandhar
"Sha Shib Aviation Academy, Sha- Shib Group of Institutions",3.8,2,39,3.3,Kochi
M.A. Rangoonwala Institute of Information Technology,NULL,11,36,– / –,Pune
"College of Community Science, Saifabad - Professor Jayashankar Telangana State Agricultural University",NULL,1 Course,378,– / –,Hyderabad
B.K. College of Art and Crafts,NULL,1 Course,– / –,– / –,Bhubaneswar
"MIT School of Distance Education, Delhi",5,10,6000 - 68000,5,Delhi
NETES Institute of Technology and Science Mirza,2.8,5,3300000 - 3900000,2.2,Guwahati
Government College,NULL,1 Course,– / –,– / –,Anantapur
BVC Engineering College,4.5,10,72000 - 1400000,4.4,Rajahmundry
Luxmi Bai Institute of Dental Sciences and Hospital,3.9,3,6600000 - 17600000,3,Patiala
St. Josephs College of Nursing,NULL,1 Course,– / –,– / –,Mysore
Gokhale Education Society’s Law College,NULL,3,491,– / –,Maharashtra - Other
Nav Yuva Institute of Medical Sciences and Research,NULL,1 Course,– / –,– / –,Nagpur
Pt. L.R. College of Technology - Technical Campus (PLRCT),4.1,14,90000 - 2400000,4.2,Faridabad
"School of Management Studies, Punjabi University",3.7,10,839000 - 5300000,2.71 - 29.67 LPA,Patiala
"RGS College of Pharmacy, Lucknow",NULL,2,90000 - 2500000,– / –,Lucknow
Goa College of Architecture,2.9,3,29,2,Panaji
"College of Horticulture, Sirsi",NULL,1 Course,– / –,– / –,Karnataka - Other
Tamil Nadu Open University - ICT Enabled,NULL,5,97000 - 499000,– / –,Chennai
Sushrutha Ayurvedic Medical College and Hospital,NULL,1 Course,27,– / –,Bangalore
Dr. Babasaheb Bhimrao Ambedkar Government Polytechnic College,3.4,7,36,3,Silvassa
Konkan Gyanpeeth Rahul Dharkar College Of Pharmacy and Research Institute,NULL,6,12000 - 500000,3 LPA,Raigad
DK Pharma College,1.8,3,882000 - 2200000,1,Rewari
Avichi College of Arts and Science,2.3,8,– / –,2,Chennai
"IIMT Studies- International Institute of Management and Technical Studies, Bhubaneswar",NULL,77,707000 - 907000,– / –,Bhubaneswar
Gurucharan College,3.9,5,– / –,3.1,Silchar
"Govet. Sri Durga ji Homoeopathic Medical College and Hospital, Chandeshwar Azamgarh",NULL,1 Course,855,– / –,Azamgarh
"BIMT, Gurgaon",3.8,3,2400000 - 3300000,4.1,Gurgaon
"Symbiosis Centre for Distance Learning, Nashik",4.2,17,3000 - 30000,3,Nashik
Ismailsaheb Mulla Law College,3.6,3,– / –,2,Satara
"Government Arts College, Kumbakonam",3.9,49,– / –,1.19 - 1.2 LPA,Thanjavur
"KL College of Commerce, KL University, Guntur",4.8,5,2400000 - 4200000,4.5 LPA,Guntur
"G J Patel Institute of Ayurvedic Studies and Research, CVM University",5,1 Course,142,5,Anand
Bharti Vidyaapeeth's Jawaharlal Nehru Institute of Technology,4.2,12,18000,4,Pune
"College of Food Science & Technology, Rudrur - Professor Jayashankar Telangana State Agricultural University",3.9,1 Course,388,1.5,Nizamabad
V.S.P.M's College of B.Sc. Nursing and Research Centre,NULL,3,1600000 - 3100000,– / –,Nagpur
Government Hydro Engineering College,NULL,4,23,– / –,Kangra
"Government Medical College, Krishnagiri",NULL,1 Course,– / –,– / –,Krishnagiri
Vaish College of Engineering,3.3,8,1200000 - 2300000,2.7,Rohtak
"Shree Swaminarayan Institute of Technology, Gandhinagar",3.8,7,2200000 - 2400000,3.2,Gandhinagar
Late. M.L.C. Vasantraoji Kale Law College,NULL,2,– / –,– / –,Aurangabad
Sweekar Academy Of Rehabilitation Sciences,NULL,5,– / –,– / –,Hyderabad
Kapil’s Academy of Hair and Beauty,NULL,5,25000 - 35000,– / –,Mumbai
"Nirmala College, Ranchi",4,15,504000 - 524000,3,Ranchi
"Biswanath College of Agriculture, Assam Agricultural University",NULL,25,16000 - 24000,– / –,Assam - Other
"Centre for Agri-Management, Utkal University",NULL,1 Course,400000,4 LPA,Bhubaneswar
Kathir College of Engineering - KCE,3.6,14,35000 - 200000,3.3,Coimbatore
Pink City College of Nursing,4.8,3,– / –,4.7,Jaipur
Indian Institute of Design,NULL,4,– / –,– / –,Rajkot
"Indian Institute of Mass Communication, Jammu",NULL,3,955000 - 2100000,– / –,Jammu
B.A. College of Engineering and Technology,3.8,6,2100000 - 2400000,3,Jamshedpur
"KL School of Architecture, KL University, Guntur",3.6,1 Course,1300000,3,Guntur
Suguna College Of Engineering,2.9,7,200000,2.3,Coimbatore
"College of Agricultural Engineering, Sanga Reddy - Professor Jayashankar Telangana State Agricultural University",NULL,2,388000 - 794000,– / –,Telangana-Other
Dr. D.Y. Patil Educational Academy's Dr. D.Y. Patil College of Engineering,NULL,2,– / –,– / –,Pune
"Government Ayurvedic Medical College,Shivamoga",NULL,1 Course,11,– / –,Shimoga
Govind Ballabh Pant Institute of Postgraduate Medical Education and Research,NULL,13,39000 - 768000,13.6 LPA,Delhi
YD Mane Institute of Pharmacy,NULL,2,12000,– / –,Kolhapur
Amandeep College of Nursing,NULL,3,– / –,– / –,Amritsar
The Sanskrit College and University,3.4,17,116000 - 139000,1,Kolkata
FX School,NULL,8,– / –,– / –,Mumbai
N R Institute of Business Management (NRIBM),4,3,200000 - 2800000,3.7,Ahmedabad
Nehru College of Pharmacy,4.2,7,84000 - 11400000,2.16 - 3 LPA,Thrissur
Mahant Bachittar Singh College of Engineering and Technology,3.1,9,18,2.4,Jammu
"Bhola Paswan Shastri Agricultural College, Bihar Agricultural University",4.6,1 Course,309,3.72 LPA,Purnia
Indo American College of Nursing,3.8,2,– / –,4,Hyderabad
"Ecole Intuit Lab, New Delhi",NULL,4,238,– / –,Delhi
Monad University,4.1,78,55000 - 5900000,3.9,Hapur
Gayatri College of Pharmacy,4,7,1700000 - 2900000,3.7,Sambalpur
"Government MCA College, Maninagar",NULL,1 Course,– / –,– / –,Ahmedabad
Baikunthi Devi Kanya Mahavidyalaya,3.5,12,– / –,2.2,Agra
Sangameshwer College,4,23,77000 - 466000,1.44 - 2.87 LPA,Solapur
S.N.D. College of Pharmacy,NULL,6,12000 - 3600000,– / –,Nashik
MIET - Modern Institute of Engineering & Technology,4.1,9,54000 - 3600000,3.6,West Bengal - Other
Hemnalini Memorial College of Engineering,NULL,6,2200000 - 2500000,– / –,Kalyani
"College of Pharmaceutical Sciences, Berhampur",3.9,6,100000 - 200000,4.2,Berhampur
CBS College of Pharmacy and Technology,3,2,100000 - 1700000,3,Faridabad
St. Francis Hospital College of Nursing,NULL,2,– / –,– / –,Ajmer
"Government College, Gurdaspur",4.4,6,– / –,4,Gurdaspur
Aurora's Engineering College,3.2,10,1200000 - 2200000,1.8 LPA,Nalgonda
National College of Media and Communication,4,15,– / –,4,Chennai
Gautham College of Pharmacy,3,6,50000 - 400000,2.5,Bangalore
Institute of Event Management,NULL,3,– / –,– / –,Lucknow
"Santiniketan Medical College, Bolpur",NULL,2,– / –,– / –,Kolkata
Budha Group of Institutions,4.6,9,865000 - 200000,4,Karnal
GRT Institute of Pharmaceutical Education and Research,NULL,2,56000 - 1700000,– / –,Chennai
Vivekanand Education Society's College of Architecture,NULL,1 Course,63,– / –,Mumbai
Sanjay Gandhi Government Polytechnic College,4.2,4,6000,3.3,Hyderabad
KCE Society's Institute of Management and Research (IMR Jalgon),3.4,4,14,2.59 LPA,Jalgaon
"Indian School of Business Management and Administration, Kochi",NULL,36,35000 - 1500000,– / –,Kochi
S.R.M. Government Ayurvedic College and Hospital,NULL,1 Course,675,– / –,Bareilly
N. M. Zala and G. N. Zala Arts and Commerce College,4,2,– / –,3,Ahmedabad
Visvesvaraya College of Engineering and Technology,3.5,11,447000 - 2600000,2.8,Ranga Reddy
Dr Vedprakash Patil Pharmacy College,1.8,4,2100000 - 300000,1,Aurangabad
Institute of Management Technology- Center for Distance Learning (IMT CDL),3.9,6,50000 - 200000,3,Ghaziabad
International Institute of Management and Technology,NULL,7,– / –,– / –,Vadodara
"InventaTeq, BTM 2nd Stage - Bangalore",NULL,6,10000,– / –,Bangalore
"School of Nursing, Christian Hospital, Kasganj",NULL,2,– / –,– / –,Uttar Pradesh - Other
Cheran College of Pharmacy,NULL,6,1100000 - 13800000,– / –,Coimbatore
Padmashree Group of Institutions,5,10,1200000 - 2100000,5,Bangalore
Infotech India (Asp.net & PHP Live Project Training and Internship with 100% Job Guarantee),NULL,2,15000,– / –,Ahmedabad
Thejus Engineering College,3.5,14,100000 - 3100000,2.6,Thrissur
"Government Law College, Kozhikode",4.2,4,– / –,1.8 - 3.81 LPA,Kozhikode
"Madhuben and Bhanubhai Patel Institute of Technology, CVM University",4.2,2,28,2.73 LPA,Anand
"R.C. Patel Institute Of Management, Shirpur",4.4,1 Course,– / –,4.4,Maharashtra - Other
Prakasam Engineering College,3.3,19,54000 - 1500000,2.8,Prakasam
"MIT School of Distance Education, Hyderabad",NULL,17,17000 - 27000,– / –,Hyderabad
"Government Law College (GLC, Tirunelveli)",NULL,4,3000 - 5000,– / –,Tirunelveli
"Kelappaji College of Agricultural Engineering and Technology, Kerala Agricultural University",NULL,5,614,3 LPA,Malappuram
Model College,4.4,14,126,3.8,Thane
Hindustan College of Pharmacy,3.2,2,84000 - 5100000,3,Kottayam
Tilak Education Societys College of Arts and Commerce Navi Mumbai,4.2,6,298000 - 953000,3,Navi Mumbai
Annex College Center For Technical and Management Studies,4.4,63,50000 - 5400000,4,Kolkata
Sri Siddhartha Institute of Management Studies (SSIMS),NULL,1 Course,12,– / –,Tumkur
SMIT - Saroj Mohan Institute of Technology,3.7,31,54000 - 3200000,3.2,Hooghly
Shree Narayana College of Commerce,3.7,2,– / –,3.8,Ahmedabad
Behala College,4.2,25,– / –,3.9,Kolkata
Bhai Parmanand DSEU Shakarpur Campus - II,3.6,5,1700000 - 2900000,3.3,Delhi
St. Joseph University,4.4,40,8000 - 4800000,3,Dimapur
Miracle Educational Society Group of Institutions,3.6,11,54000 - 1400000,2.9,Vizianagaram
"School of Bio Technology, IFTM University",3.5,8,100000 - 3700000,1.68 - 2.4 LPA,Moradabad
Shreeyash Institute of Pharmacy,4.5,2,12000 - 4200000,4.3,Aurangabad
Aditya College of Architecture,3.8,2,63,3.3,Mumbai
"Kakinada Institute of Technology and Science, Tirupati",3.2,15,72000 - 1400000,2.9,East Godavari
Nirmala College of Arts and Science,3.7,11,31000 - 1400000,3.5,Thrissur
"College Of Agriculture, Akluj",NULL,2,26,– / –,Solapur
Shikshapeeth College of Management and Technology,3.3,4,– / –,3.2,Delhi
M B Government Post Graduate College,3,43,– / –,1.3,Haldwani
Satavahana University,4.1,41,16000 - 837000,4,Karimnagar
Kalapurnam Institute,5,34,– / –,5,Ahmedabad
ATDC - Apparel Training And Design Center,NULL,9,19000 - 200000,– / –,Jaipur
Sunder Deep College of Hotel Management,4.7,7,25000 - 3100000,4.6,Ghaziabad
Ishan Institute of Pharmacy,4.8,2,1600000 - 400000,3.75 LPA,Greater Noida
Ramrao Patil Ayurved Mahavidyalaya and Rugnalaya,NULL,1 Course,400000,– / –,Parbhani
International Institute of Management and Technical Studies (IIMT) powered by Sunstone,NULL,1 Course,47,– / –,Meerut
Sree Rama Engineering College,3.9,11,54000 - 1800000,3.8,Tirupati
Darjeeling Government College,4,5,300 - 640,3.2,Darjeeling
"Carmel College of Engineering And Technology, Alappuzha",3.6,7,300000,3.2,Kerala - Other
Andhra Christian College of Law,NULL,3,39000,– / –,Guntur
Techno India NJR Institute of Technology,3.6,10,1600000 - 2700000,3.5 LPA,Udaipur
"KC Group of Institutions, Una",NULL,5,200000,1.2 LPA,Una
KLE College of Science and Commerce,4.2,7,– / –,3.7,Mumbai
Mukhi College of Nursing,NULL,2,1300000 - 2600000,– / –,Sonepat
Sri Basawalingappa B.Reshmi M.Sc. Computer Science College,NULL,4,– / –,– / –,Gulbarga
Shri Ram Murti Smarak College of Law,NULL,2,1200000 - 2800000,– / –,Bareilly
Madhuribai Deshmukh Institute of Nursing Education,NULL,7,– / –,– / –,Nagpur
"SRM University, Sikkim",4.5,32,90000 - 2600000,2.75 - 4.5 LPA,Gangtok
Rajesh Bhaiyya Tope College of B-Pharmacy,2.6,4,12000 - 300000,1,Aurangabad
St. Joseph's College,NULL,9,– / –,– / –,Kannur
NIIT,NULL,1 Course,23,5 LPA,Gurgaon
"NMIMS, Koramangala Campus",4.8,1 Course,– / –,10.65 LPA,Bangalore
Dr.D.Y. Patil Center for Management and Research(MBA),NULL,2,21,– / –,Pune
Adv. Datta Patil College of Law,NULL,2,60000 - 627000,– / –,Maharashtra - Other
Arcot Sri Mahalakshmi Women's College,3.8,23,– / –,1.22 - 1.74 LPA,Arcot
"Institute of Integrated and Honors Studies, Kurukshetra University",3.7,26,– / –,3 LPA,Kurukshetra
Global Institute of Science and Technology (GIST - Haldia),4.3,5,54000,4.3,Haldia
Laureate Institute of Pharmacy,NULL,7,638000 - 2400000,2.4 - 2.98 LPA,Kangra
Mount Zion College of Engineering (MZCE Pathanamthitta),3.6,11,494000 - 200000,3.6,Pathanamthitta
NITTE Institute of Architecture,3.6,1 Course,133,2,Mangalore
Cauvery Institute of Technology,3.8,4,36,3.6,Mandya
P. Wadhwani College of Pharmacy,NULL,7,12000 - 3800000,1.2 - 1.6 LPA,Yavatmal
K. K. Shah Jarodwala Maninagar Science College,4.6,5,– / –,4,Ahmedabad
College of Medical Laboratory Technology,NULL,3,– / –,– / –,Ernakulum
"L.V. Prasad College of Media Studies, Chennai",NULL,8,– / –,– / –,Chennai
Gurgaon College of Engineering,2.6,8,75000 - 2900000,1.6,Gurgaon
"School of Pharmacy, ITM University, Gwalior",4,3,1600000 - 3600000,5.2 - 10.5 LPA,Gwalior
Paavai College of Engineering,3.4,13,35000 - 200000,3.4,Namakkal
Mangayarkarasi College of Engineering,2.8,7,200000,2,Madurai
"M.V. College, Veer Kunwar Singh University",3.3,75,5000,2.7,Buxar
Mahatma Gandhi Memorial Hospital,NULL,1 Course,– / –,– / –,Mumbai
Military College of Electronics and Mechanical Engineering,NULL,16,447,– / –,Secunderabad
"Government Polytechnic College, Jaunpur",3.6,3,237000 - 356000,1,Jaunpur
Durgapur Polytechnic College,4.1,4,18000 - 54000,4.3,Durgapur
Global Institute of Management,4.2,1 Course,17,4,Bhubaneswar
KK Modi University,4.5,93,43000 - 900000,4.5,Bhilai
"Vinayaka Mission's Kirupananda Variyar Engineering College, Vinayaka Mission's Research Foundation",2.8,29,1200000 - 2400000,2.1 - 2.25 LPA,Salem
"College of Dental Science and Hospital, Indore",5,4,24300000 - 36900000,30 - 50 LPA,Indore
"MES College, Vatakara",NULL,10,517000 - 1100000,– / –,Kozhikode
Anantha College of Law,NULL,4,39000 - 65000,– / –,Chittoor
Biyani Institute of Science and Management,3.8,4,1300000 - 2800000,3.5,Jaipur
Bihar Flying Institute,NULL,3,– / –,– / –,Patna
NIIT Noida,NULL,3,– / –,– / –,Noida
Guru Nanak Institute of Management,3.4,4,2400000 - 4700000,3,Delhi
Universal Group of Institutions,2.9,47,78000 - 2400000,4.98 - 5.09 LPA,Mohali
Khalsa College of Pharmacy,4.9,6,1700000 - 2400000,5,Amritsar
Rawat Nursing College,NULL,2,1400000 - 2800000,– / –,Jaipur
"DAV College for Girls, Yamuna Nagar",4.1,39,600 - 913000,3.8,Yamuna Nagar
St. Xavier's College of Arts Science and Commerce,NULL,11,– / –,– / –,Mapusa
Apollo Arts and Science College,3.3,13,– / –,2.7,Chennai
"Narayana Engineering College, Gudur",4.1,10,54000 - 1800000,2.5 LPA,Andhra Pradesh - Other
KYDSCT's College of Pharmacy,NULL,4,12000 - 400000,– / –,Jalgaon
Vivekanand Institute of Technology and Science,3.7,10,100000 - 2600000,3.4,Ghaziabad
"Government Engineering College, Bhuj",3.9,9,3000 - 6000,3.1,Kutch District
Fathima Institute of Medical Sciences,NULL,8,1300000 - 24800000,– / –,Kadapa
Abhilashi College of Nursing,NULL,4,– / –,– / –,Mandi
Vivekananda College of Technology and Management,4.4,15,100000 - 2400000,4.1,Aligarh
Siddhi Vinayak Institute of Technology and Science,NULL,3,– / –,– / –,Bilaspur(CG)
Gateway Education,4.4,1 Course,13,3,Sonepat
